Sentence,Sentiment
britain ftse fall back with ashtead commod under pressur,negative
hlf short made a kill last coupl day might make more if cover and buy back,negative
the compani said that it invest in the new market area result in sale increas in sweden poland russia and lithuania,positive
down to eur m h august - finnish media group ilkka-yhtyma oyj hel ilk said today it net profit fell on the year to eur m in the first half of,negative
the pilot project prove that rifd technolog is ideal for our purpos comment olli saarinen materi handl supervisor at yara,positive
companiesab inbev signal it wont go hostil for sabmil,positive
the -squar metr technolog center is locat near univers of tamper in central tamper,neutral
slump in weir lead ftse down from record high,negative
the use case dramat narrow if you go onli with the hot s ltd,neutral
nflx easi pop to by end of feb then steadi as she goe for into second earn report year end no matter what,positive
short more faz for all who dont know that mean market will tank now -p,negative
autotank group is part of aspo s system divis,neutral
the currenc effect had a pct or mln euro mln negat impact on the revenu,negative
pharmaceut group orion corp report a fall in it third-quart earn that were hit by larger expenditur on rd and market,negative
uvxi put the chum out there at key support then next level down - care,negative
companiesunilev sale lift by ice cream in soft economi,positive
ab inbev offer sabmil billion breakup fee,positive
export of good fell by and import by,negative
rt andrewnyquist chartolog yahoo yhoo crazi look chart but near breakout resist line,positive
no servic price detail were disclos,neutral
upm s deliveri increas dure the third quarter by percent and the effici of oper improv chief execut jussi pesonen said,positive
in octob upm report a third-quart net loss of euro million million compar with a net profit of euro million in,negative
central europ is an import market area for honka,neutral
the goal is to secur the compani s profit and competit,neutral
uk s sarantel to outsourc part of it process to elcoteq plant in estonia london oct bns - the british miniatur antenna maker sarantel has sign an agreement to outsourc it assembl test and suppli chain process to the plant of elcoteq in the estonian capit tallinn,neutral
in russia raisio s food divis s home market stretch all the way to vladivostok,neutral
nyse owner ice may gatecrash deutsch boerse-ls merger,negative
danish compani flsmidth has acknowledg that it has violat a patent held by finnish metso,negative
the concept enabl a commerci afford way to manufactur high-qual tco coat glass for the solar industri,positive
sale increas due to grow market rate and increas oper,positive
helsinki afx - metso said it will upgrad one of upm-kymmen s four paper machin at the latter s mill in jaemsaenkoski with a new coat color suppli system machin and process control and qualiti measur,positive
we offer our custom solut base on renew raw materi,neutral
within the framework of the partnership nokia siemen network has sign an initi framework purchas agreement with sitron subsidiari jsc mikron which is the largest manufactur and export of microelectron compon in russia,positive
adp news - feb - finnish broadband data communic system and solut compani telest oyj hel tltv said today it net profit decreas to eur million usd m for from eur million for,neutral
isrg trade at all-tim high after strong earn report with day of short interest,positive
oper loss total eur mn compar to a profit of eur mn in the correspond period in,negative
profit for the period was eur mn down from eur mn in,negative
scanfil issu a profit warn on april,negative
the stena poseidon is a so-cal panamax tanker design to be abl to pass through the narrow passag in the panama canal s lock,neutral
cash flow after invest amount to eurm down from eurm,neutral
qcom chart qualcomm short retrac trendlin and resist,negative
timberrrr tsla,negative
previous grimaldi held a pct stake in the finnish compani follow the takeov bid launch in novemb,neutral
saudi aramco shell plan to break up motiva divid up asset,negative
no price was given for the transact which merg two london compani that have work togeth on a number of project includ deliveri of timet for britain s nation express east coast rail network,neutral
gild now support ibb bib,positive
the total capit of fund manag by the bank decreas by to eur mn by the end of septemb,negative
uk ftse has worst day so far in as bg and prudenti fall,negative
finnish construct compani yit is reduc the number of start-up of market-financ residenti unit in to about from the previous announc,negative
mpwr ceo sell k april thmeh,negative
sbux head for the dma and certain doom if it can not hold there,negative
casino red befor the bell lvs - wynn - wynn - unusu comibin of what run what red befor the bell,negative
cash flow after invest amount to eurm down from eurm,negative
ab inbev attack sabmil bid rebuff,negative
hsc receiv -year m contract at new saudi arabian steel mill,positive
aspocomp intend to set up a plant to manufactur print circuit board with an invest of rs crore,neutral
tesla issu it first model x recal tsla,negative
the cost of the new ropax vessel are lower than those of the present one,positive
the compani will also be compens for act as a reserv batch plant,positive
aapl im sure those short are hold their breath hope for a miracl lol,positive
latvenergo has order a signific expans to the tekla xpower network inform system,positive
finnish airlin finnair has won a deal with the uk public sector to be the offici airlin for flight from london heathrow to osaka in japan as well as flight between manchest in the uk and helsinki in finland,positive
subscript sale decreas slight,negative
oper cash flow after invest total eur mn compar to eur mn in the correspond period in,negative
diageo receiv report from unit spirit on financi irregular involv,negative
finnish softwar and hardwar develop elektrobit oyj hel ebgv or eb said today it will temporarili lay off up to peopl for a maximum of day in finland aim to achiev cost save of eur million usd m in the second half of,negative
in july-septemb yit s net sale increas to eur mn compar to eur mn in the correspond period in,positive
-star analyst brianwies from pivot research upgrad rate on googl to buy brian has a success rate,positive
the agreement is valid for four year,neutral
amzn period rsi is down at just read connor book on trade strategi,positive
ruukki group calcul that it has lost eur mn in the fail project,negative
eln longscongratsanoth hod,positive
the bristol port compani has seal a one million pound contract with cooper specialis handl to suppli it with four -tonn customis reach stacker from konecran,positive
profit befor tax was eur mn down from eur mn,negative
net sale have been eaten by the weak us dollar,neutral
strong brand visibl nation and region is of primari import in home sale vehicl and consum advertis,neutral
it is now the lead privat road ambul servic compani in finland,positive
march - goldman sach estim that there are negat prospect for the norwegian mobil oper of norway s telenor asa osl tel and sweden s teliasonera ab sto tlsn in the short term,negative
this new partnership agreement repres a signific mileston for both parti,positive
tsla i see more downsid in next two week be care - dollar drop potenti vs up move,negative
retail giant kingfish report solid start to the year,positive
financi term were not disclos,neutral
the buyer is real estat owner properto oy but the compani have agre not to disclos financi detail of the deal,neutral
telecomworldwire- april -tj group plc sell stake in morn digit design oy finnish it compani tj group plc said on friday april that it had sign an agreement on sell it share of morn digit design oy to edita oyj,positive
googl hit with lawsuit from russian search engin yndx,negative
finnish suominen flexibl packag is cut job in it unit in tamper and two in nastola in finland,neutral
us sanction put gazprom-shel allianc plan in jeopardi,negative
the workforc will be reduc also in the amsterdam offic in the netherland,negative
qcor just ad share,positive
royal dutch shell profit rise dividend up,positive
the recent troubl simpli make netel cheaper,negative
- the group -¦ s sale dure the period were eur million eur million - and profit befor tax was eur million,neutral
the natur sourc of isopren is the tree speci hevea brasiliensi also known as the rubber tree,neutral
finnish silicon wafer technolog compani okmet oyj omx helsinki okmv report on thursday octob an oper profit of eur m for january-septemb up from eur m in the correspond period in,positive
the poorest index figur was given to finnish power compani fortum,negative
finnish meat compani atria can no longer promis a suffici amount of domest beef to it custom,negative
director and sharehold alik should ask whi these practic were allow to continu,neutral
oper result for the -month period decreas from the profit of eur m while turnov decreas from eur m as compar to,negative
stora enso oyj said it second-quart result would fall by half compar with the same period in,negative
fast gww - daili sale slow again pretti time coincid indic,negative
in the build and home improv trade sale decreas by total eur mn,negative
tesco lead leap in ftse mark spencer drop,positive
realli surpris by how much fb has now fallen thought there be some support around the d but i guess not,negative
finnish electron manufactur servic compani elcoteq sign a cooper agreement with a japanes mobil phone manufactur bypass elcoteq tallinn say jan kotka ceo of elcoteq tallinn,positive
the expans will be deliv in the fourth quarter of,neutral
also westpac is to issu a benchmark month frn deal in euro,neutral
net sale decreas to eur mn from eur mn in the correspond period in,negative
oper profit for the -month period decreas from eur m while net sale increas from eur m as compar to,neutral
oper profit exclud non-recur item total eur mn down from eur mn in the correspond period in,negative
swedbank s share have been hardest hit of the swedish bank by the ongo intern financi crisi,negative
ceo erkki jñrvinen is happi with the compani s perform in,positive
adanac molybdenum of canada has order grind technolog for it molybdenum project in british columbia canada while shalkiya zinc of kazakhstan has award a contract for grind technolog for the shalkiya zinc-lead project in kazakhstan,positive
export of good fell by and import by,negative
as a result of the negoti the employ of blue - and white-collar employe at the oulu plant would be termin,negative
the total emiss reduct from to will be thus,neutral
csx is up today to report wall street is expect ep to be at and revenu at b,positive
the financi impact is estim to be an annual improv of eur m in the divis s result as of fiscal year,positive
octob - finnish environment manag compani lassila tikanoja oyj hel latv or lt said today it net profit declin to eur m for the first nine month of from eur m for the same period a year earlier,negative
nordea group s oper profit increas in by percent year-on-year to billion euro and total revenu by percent to billion euro,positive
kiosk and cinema oper have suffer in particular,negative
the origin patent was file in finland under applic no,neutral
the negoti concern salari and senior salari employe and are schedul to be complet in six week,neutral
amazon to attack uk groceri market with morrison deal,positive
tele affarsvarlden gave a buy recommend on mobil oper tele ab and a share price target of crown - euro,positive
adpnew - feb - finland-bas steel maker rautaruukki oyj hel rtrks or ruukki said today it slip to a larger-than-expect pretax loss of eur million usd m in the fourth quarter of from a,negative
fb slight green may be runner later,positive
outotec oyj press releas decemb am outotec establish a new subsidiari in kolkata outotec has establish a subsidiari in india in order to better serv it indian custom and to increas it busi in the grow indian market,positive
oper profit total eur mn down from eur mn in the first half of,neutral
in the third quarter net sale increas by year-on-year to eur million or by at compar currenc rate growth,positive
accord to arokarhu some of the purchas that had been scan into the cash regist comput disappear when the total sum key was press,negative
the total amount of subscript price was record in the fund for invest non-restrict equiti,neutral
astx daili technic indic are bullish breakout watch over,positive
the loss for the third quarter of was eur mn smaller than the loss of the second quarter of,positive
expens ratio was compar to in the correspond period in,neutral
in the build and home improv trade net sale total eur mn down from eur mn a year earlier,negative
incap estim it will generat a revenu of mln euro mln from it indian oper for,neutral
gtat will re-ent short on bounc,negative
retail kingfish and sport direct rise in britain share index,positive
roshan s net sale in were million and ebitda was million,neutral
liquid handl product includ electron and mechan pipett dispos tip as well as pipett mainten and calibr servic for research institut healthcar and industri laboratori,neutral
tekla group s net sale for were approxim million euro and oper result million euro,neutral
the compani did not disclos the price of the acquisit,neutral
risk exposur by non-lif insur move -month expens by function in non-lif insur exclud expens for invest manag and expens for other servic render non-lif insur invest portfolio by alloc,neutral
key sharehold of finnish it servic provid tietoen oyj on friday reject a hostil eur billion billion offer from buyout shop nordic capit give new life to a possibl counter offer from blackston group lp and norwegian telecom telenor asa,positive
exel s board of director will propos a dividend of euro per share for at the annual general meet on april,neutral
in addit the compani is consid the start of product in russia,neutral
the nokian tyre prove it high safeti excel in the import drive qualiti stabil with mark handl and brake on wet road with,positive
the busi develop initi in north america are head by lynn shanahan,neutral
the annual general meet approv that the year remuner for the member of the board of director shall remain at eur for the chairman of the board eur for the deputi chairman of the board and eur for other member of the board,neutral
the reloc of ragot has alreadi start and will be complet in the next few week with the waterqueen and tortu move plan for mid- and vmc europ dure the third quarter of,neutral
the plant will go on stream in novemb and it estim daili product will be litr of bioethanol,neutral
in the build and home improv trade sale decreas by to eur mn,negative
finnish energi compani fortum oyj said on novemb it was grant an environment permit to build a biofuel-fir combin heat and power chp plant in vartan harbor in eastern stockholm,positive
our superior custom centric and expertis in digit servic set us apart from our competitor,positive
overal we re pleas with the startup curv and we re pleas with the qualiti of the paper stora spokeswoman patricia dietz said tuesday,positive
revenu for the quarter total billion down percent from billion in the fourth quarter in,negative
finnair s passeng load factor which measur the number of sold seat as a share of all avail seat drop by percentag point to in septemb,negative
fb churn in high volum ipo price lot of seller tri to get out might take a while here to consolid befor move higher,negative
follow the transact lundbeck has worldwid right for nalmefen exclud north america mexico turkey and south-korea,positive
the oper margin of aker yard cruis ferri divis went down from to in the first quarter of,neutral
inv see ya abov,positive
igor and oleg yankov who current manag moron and vitim will hold onto the stake for now,neutral
the compani said that the fall in turnov had been plan,negative
ab inbev up offer for sabmil as deadlin loom,positive
these compani own a sq m offic and commerci build and substanti amount of build right for a new shop center in liljeholmen stockholm,neutral
the major part of the deliveri includ differ ac and cxe amplifi solut and product by dinh telecom a compani acquir by telest last spring,neutral
upm is talk to myllykoskió s creditor bank -- nordea sto nda nordic invest bank and dansk bankó s cph dansk sampo bank -- over a deal the paper said,neutral
at the same time profit of the compani increas by in h and reach ls,positive
kauko-telko ltd press releas at telko group kauko-telko is expand it strateg partnership with bp industri lubric servic bp il by acquir total ownership of bp s swedish retail compani molub-alloy ab,positive
are arm hold plc domino pizza group plc and aso plc must-hav growth stock,neutral
the facil will have a lettabl area of some sq m the plot for the plant locat in the ratasmaki busi park will be purchas from the citi of forssa,neutral
finnish raisio diagnost is launch new dna-bas quick test to ensur the safeti of food,positive
in addit the exist servic counter area in the recept hall will be rebuilt and access provid to local rail connect,neutral
worker in àmñl will be affect by the close-down,negative
stora enso own percent of bergvik and earn therefor sek bn on the valu appreci,positive
accord to finnish petrol station chain st s manag director kim wiio the compani was forc to make purchas with rise price in the first half of and now consum price are go down almost daili due to competit,negative
bbri sierra has a great cash balanc and impress growth ratewould be a wonder marriage!,positive
nflx i say it time to short at this point,negative
endp be su by ftcnobodi will buy them with that hang over their head,negative
eu drop shell bp statoil from ethanol benchmark investig,positive
finland-bas intern machineri rental compani ramir plc omx helsinki rmrv report on friday august an oper profit of eur m on net sale of eur m for the period january-jun,neutral
finnair believ the strike will caus it daili net loss in excess of eur mn due to cancel reserv and passeng re-rout,negative
finnish publish and print group ilkka-yhtymñ will introduc a staff smoke ban as of the begin of at the compani s three newspap,neutral
as a result of the cancel the maximum increas of citycon s share capit on the basi of the convert bond decreas from eur to eur,neutral
thanksto improv in demand and the adjust we have made theutil rate of cramo s fleet have substantiallyimprov,positive
serv custom local is one of the cornerston of custom focus for us,neutral
howev this increas signal traffic which wast network resourc and allow fewer smartphon to connect,negative
pharmaceut group orion corp report a fall in it third-quart earn that were hit by larger expenditur on rd and market,negative
iwm same condit that sent market to tumbl all hit this week,negative
decemb - finnish-german telecom equip maker nokia siemen network said today it won a contract to upgrad the radio network of home-bas telecommun compani elisa oyj hel eliv,positive
the report profil compani includ mani key and nich player worldwid such as black decker corpor fiskar corpor fiskar brand inc husqvarna outdoor product inc ks group ryobi technolog inc the scott miracle-gro compani and van group inc,neutral
ftse fall as china devalu hit burberri mine stock,negative
legal general share price financ chief to step down,negative
the total size of the complex is around m and the project will be construct in stage,neutral
return on invest roi was compar to in the first half of,neutral
as a result of the negoti the employ of blue - and white-collar employe at the oulu plant would be termin,negative
i see a percent upsid in fb share from here,positive
the german compani has also sign a code share agreement with anoth oneworld member -- american airlin inc part of us-bas amr corp nyse amr,positive
in contrast the compani s net loss for the third quarter of contract to eur million from eur million for the correspond period a year ago,positive
finnish communic electron compon supplier scanfil oyj tuesday said sale in the first half of will be lower than dure the same period a year ago,negative
warren buffett defend berkshir hathaway conglomer structur,positive
still short lng from areanext stop could be down through someon slam it hard with shs this am! more to follow,negative
bobe down premarket,negative
base on the design of previous handset the nokia e and nokia e this symbian-bas model is promis to offer direct access to over per cent of the world s corpor email through mail for exchang and ibm lotus note travel,neutral
tsla weakest in today dt watchlist,negative
the arrang do not appli to the group s unit outsid finland,neutral
net sale in total eur million and the oper margin was,neutral
aapl short term fundredempt liquid should have the channel clear soon and on solid foot is new floor come july!,negative
tsla weakest in today dt watchlist,negative
konecran has previous communic an estim reduct of about employe on group level in,negative
elcoteq has a proven track record in electron manufactur servic em and a global factori network coupl with modern manufactur equip and consist system and process,positive
dilut ep rose to eur from eur,positive
astrazeneca profit down as sale of stalwart fade,negative
ep grew to eur from eur,positive
accord to tyrvñinen s estim japan is a veri essenti locat in term of finnair s asian strategi,neutral
miner meltdown as bhp to rio tinto sink in commod rout,negative
talktalk hire bae system to investig cyber attack,negative
to be number one mean creat ad valu for stakehold in everyth we do,neutral
the issu identifi by stonesoft affect a rang of content inspect technolog,neutral
alert new rsi signal creat on cost - buy at - time - strength power by,positive
cash flow from oper in january-decemb was a negat eur mn compar to eur mn in the correspond period in,negative
is facebook user engag fall fb,negative
nokia siemen network provid mobil and fix network infrastructur communic and network servic platform as well as profession servic to oper and servic provid,neutral
tsla to recal model x suv for seat-belt fix,negative
academ claim googl android two-factor authent is breakabl secur authent hack goog,negative
the payment of million lita in interest on a long-term loan provid by raguti major sharehold estonia s a le coq also ad to the loss,negative
lse-deutsch bã¶rse dealmak wrong to ignor brexit risk,negative
zurich insur consid offer for uk rival rsa insur,positive
baird like tsla - upgrad to outperform lift price target to research firm also see no capit rais necessari in next few qtrs,positive
updat -sabmil reject ab inbev bln takeov approach,positive
howev it market share shrank to per cent from per cent a year earlier,negative
servic supplier efor plc to streamlin oper in finland and the us finnish electron system and servic supplier efor plc omx helsinki efov said on tuesday februari that it has initi statutori negoti regard a streamlin of it oper in finland,positive
previous it project the figur to be slight lower than in,neutral
ctrp just broke resist watch for a redtogreen breakout right out of the gate tomorrow morn stock,positive
the swedish buyout firm has sold it remain percent stake almost eighteen month after take the compani public in finland,neutral
it will focus on improv it profit next year by streamlin oper,positive
stora enso oyj said it second-quart result would fall by half compar with the same period in,negative
there s the issu of thiev steal them from build site said mr smith,negative
oper profit exclud non-recur item total eur mn down from eur mn in the correspond period in,negative
dgi technic alert gilligan island buy setup stochast buy signal lizard bullish hammer candlestick wid,positive
jan -- ford is struggl in the face of slow truck and suv sale and a surfeit of up-to-d gotta-hav car,neutral
royal mail chairman donald brydon set to step down,negative
axdx i got bore and took my proprietari profit exit i didnt like the option liquid and lousi spread,negative
initi the compani said a maximum of peopl would be made redund in the parent compani and about in it subsidiari,negative
london s lead share today jump almost point or as the market open,positive
scanfil expect net sale in to remain at the level,neutral
the swedish subsidiari hold net smelter return nsr royalti over two advanc copper project in northern sweden - the viscaria and adak project - be develop by avalon miner ltd asx avi,neutral
over the year the color orang has becom synonym with qualiti,neutral
finnish raut precis that suppli weigh and dose system and plant is chang it name to lahti precis,neutral
british american tobacco first-half sale hurt by currenc move,negative
astrazeneca chase acerta to secur next cancer drug winner,positive
intc aapl strong tech lead dow higher,positive
oper profit total eur mn compar to eur mn in the correspond period in,positive
airbus has firm order for the a and nonbind commit,positive
abb deutsch bank upgrad it recommend on swiss-swedish engin group abb ltd to buy from hold,positive
the commiss said the hydrogen peroxid and pbs market was worth about million euro in,neutral
finnish consult and engin group poyri plc omx helsinki poy said on wednesday octob that it has been award a contract by tanqia dibba fzc as owner-engin for the wastewat system of dibba emir of fujairah uae,positive
the compani report today an oper loss of eur m on net sale of eur m for the first quarter,negative
a total of wonderwar certifi sis are avail to integr and support wonderwar product such as intouch -« hmi softwar industrialsql server historian wonderwar inform server dt analyst softwar or qi analyst spc softwar,neutral
the acquisit doe not have to be from the frozen food or fish sector as long as it has synergi with lñnnen tehtaat s other busi,neutral
emsa deputi chairman of the board juri lember told bns on wednesday that this was the first time he heard about the strike as the swedish side had not inform the estonian union yet,neutral
ctrp break out,positive
updat -dairi crest lose a third of morrison milk contract,negative
tesla motor recal model x suv tsla,negative
merg lse and deutsch bã¶rse would be led by germani kenget,positive
cnp sell short posit on cnpclose for profit,positive
the uranium found local is natur occur and it make sens to extract it in the same way as we do with our other metal,neutral
the new locat is nt the onli chang wellmont has in store for it air transport servic,neutral
ruukki group calcul that it has lost eur mn in the fail project,negative
whi not give your bedroom a cool makeov for summer,neutral
aspen to buy anaesthet from astrazeneca for million,positive
it generat an oper loss of eur mn down from a profit of eur mn,negative
the sale of the healthcar trade busi support oriola-kd s strategi to focus on pharmaceut wholesal and retail busi,positive
talvivaara mine compani plc talvivaara mine lse talv a finland-bas nickel mine busi has instal it second product line at it metal recoveri plant on june,neutral
by cet on monday share in bavarian nordic had climb to dkk on the stock exchang in copenhagen after have lost in the past month,positive
us sanction put gazprom-shel allianc plan in jeopardi,negative
rbs pay billion to scrap uk treasuri dividend right,neutral
self-servic and autom are in a bigger role now and fujitsu s global resourc will be exploit effect,positive
both compani exist invest plan will be coordin,neutral
shell to buy bg group in billion takeov,positive
the group will expand the chain to includ store,positive
intern sale rose by to eur mn,positive
rt dasan tmtanalyst sinc aapl master their suppli chain in corner nand appl master everyon suppli chain!,positive
accord to capman plc s corpor govern the major of the committe member shall be independ of the compani,neutral
approv by sharehold of cencorp in accord with finnish law,neutral
the train is expect to cross the russian territori in day reach the vostochni port,neutral
the latest result includ per-shar charg of cent for stock compens cent for research and develop and cent for strateg invest,neutral
march - finnish electron contract manufactur scanfil oyj hel scfv said today it plan to merg wholli own scanfil em group with ojala-yhtyma oy has hit a snag as sharehold of the domest rival reject the deal,negative
octob - finnish metal product compani componenta oyj hel cthv said yesterday that it net loss narrow to eurm for the first nine month of from eur m for the same period of,positive
consolid pretax profit decreas by to eur mn from eur mn in,negative
cooper sh the uk distributor for lift equip manufactur konecran won the five-year deal which involv low mainten and fuel save technolog,positive
amrn got sell signal still in forc with target below,negative
finnish bank of àland report it oper profit fell to eur mn in the third quarter of from eur mn in the third quarter of,negative
the product is to be liquid befor june and employe loos their job,negative
the method utilis waterborn ultra product give protect to wooden surfac in an industri paint process wherebi two layer of top coat are appli on exterior wooden panel and board without a separ primer,neutral
after the split the number of k share will be and the number of a share,neutral
the dividend payabl annual shall be deduct from the share subscript price,neutral
oper loss total eur mn compar to a profit of eur mn in the first half of,neutral
a survey conduct by taloustutkimus for sampo life show that compani are bad prepar to lose key staff member,negative
berkshir seek to boost it well fargo stake abov percent,positive
at this stage a maximum of tulikivi seri a share will be acquir repres about per cent of the compani -¦ s share outstand,neutral
net sale total eur mn up from eur mn in the correspond period in,positive
the finnish compani previous said it oper result will be lower than the break-even post a year earlier,neutral
the compani s equip rental portfolio consist primarili of tool for small and mid-siz custom in the construct industri,neutral
finland-bas elcoteq se a privat held provid of electron manufactur servic to communic compani said thursday it sign a long-term manufactur suppli deal with communic equip compani andrew corp,positive
after non-recur item of eur mn profit amount to eur mn,neutral
the report contain categori level compani and brand share as well as distribut share inform for and,neutral
paper compani were in negat territori with stora enso r shed pct to eur upm-kymmen down pct at eur and m-real b pct lower at eur,negative
the order also cover design servic hardwar softwar licenc as well as mainten servic over six year,neutral
sabmil buy meantim to quench thirst for craft beer,positive
an eu law on the issu may be introduc around,neutral
cargo traffic fell year-on-year to tonn in septemb,negative
sale in finland decreas by and intern sale decreas by in term of euro and by in term of local currenc,negative
updat -lloyd to cut job as part of -year restructur plan,negative
rapala estim it net sale for will increas by between pct and pct assum exchang rate,positive
export grew percent to million liter,positive
sever larg stock tack lower howev,negative
these new unit will be built at cargotec s state of the art manufactur facil in san antonio texa usa which start oper in,neutral
earn per share were eur - -,neutral
sp downgrad barclay and rbs on govern bailout fear,negative
sabmil revenu hit by weaker em currenc,negative
frost sold share for million at - per share compar with friday s high of and low of,negative
the total headcount reduct will be person the compani said,negative
net interest incom was eur mn up from eur mn in,positive
cision say the sale will return it uk oper to profit,positive
kingfish takeov of mr bricolag could hit a brick wall,negative
galeria podlaska a shop mall on wysockiego street in bia ystok is approxim -percent leas or reserv,neutral
as a result of these negoti the compani has decid to make peopl redund on financi and product ground,neutral
adp news - sep - finnish secur and privaci softwar solut develop stonesoft oyj said today that it won a usd million eur m order to deliv it stoneg network secur product to an unnam russian te,positive
vaisala s present weather detector measur visibl up to km as well as precipit type and intens,neutral
in addit the product at the varpaisjâ rvi factori will be stop at the begin of april,negative
net sale grew in the period to xac million us million from xac million in,positive
in q of the compani s oper loss total eur mn compar to a profit of eur mn in q of,negative
zsl look veri weak could be a good short setup,negative
dilut earn per share ep stood at eur versus eur,negative
a high court in finland has fine seven local asphalt compani more than lion million for oper a cartel,negative
raisio s bid to buy glisten is a win-win deal for both compani the chairman of the uk snack firm told just-food today februari,positive
the currenc effect had a pct or mln euro mln negat impact on the revenu,negative
oper profit total eur mn down from eur mn in the correspond period in,negative
for the current year raut expect it net sale to increas and the oper result -- to be posit,positive
tornio work employ of whom more than have been in the scope of the fixed-period or part-tim temporari layoff in april-octob period,negative
mformat and nokia note they have establish interoper agreement that cover commerci proven standards-bas manag of mobil devic as well as mobil devic secur and mobil applic manag,positive
rautaruukki corpor stock exchang releas decemb at noon ruukki s construct and engin divis are to further improv and adjust their oper in finland,positive
curat have divid their materi into eight theme,neutral
the bank also expect addit cost relat to the dash - q jet which the group shelv in octob,neutral
nasdaq-list yahoo inc has introduc a new servic that enabl malaysian to take their favorit internet content and servic with them on their mobil phone,positive
jd down in after-hour market anyon care to explain whi,negative
pretax profit decreas to eur mn from eur mn in the fourth quarter of,neutral
siriusxm ad net new subscrib in the first quarter of siri ceo sale marketresearch tech entrepreneur speaker,positive
jd down in after-hour market anyon care to explain whi,negative
the fair valu of the invest properti total eur mn up from eur mn in,positive
the compani confirm it estim for lower revenu for the whole than the year-ago eur m as given in the interim report on august,negative
you will hear the latest insight and updat on citycon s strategi as well as the latest news from all the busi unit,neutral
petrofac book further â£m cost for shetland gas termin delay,negative
finnair said that the cancel of flight would caus daili loss of xac million us million,negative
load up on bsx yesterdaylook good now still think way more upsid than downsid,positive
ruukki is restructur commerci and industri construct oper in pursuit of perman improv whilst adjust oper to market condit,neutral
the share capit of alma media corpor busi id -is eur and it is divid into share,neutral
tesla motor recal model x suv tsla,negative
helsinki may - finnish compani lemminkainen oyj hel lem said today that it will construct an offic build at toolonlahti in downtown helsinki without disclos financi detail,neutral
in a separ announc to the helsinki stock exchang atria reveal that the compani s third quarter profit declin from eur m in the third quarter of last year to eur m in this year s q,negative
lemminkñinen start the manufactur of roof felt in and the product of asphalt in the s,neutral
lg still pay price for dividend cut dure crisi chief say,negative
finnish handl system compani cargotec oyj hel cgcbv said today that it won a eur million usd m contract to deliv macgregor hatch cover for ship order by norwegian shipown grieg ship,positive
the compani s previous estim was for a lower revenu than the year-ago eur million,neutral
appl up almost from it februari low with veri littl fanfar aapl,positive
ad long at friday close spi labu blue amzn,positive
for the purpos of the possibl acquisit pkc would establish a subsidiari in poland,neutral
legal general share price financ chief to step down,negative
the transact would increas earn per share in the first quarter by some eur,positive
it board of director will propos a dividend of eur per share for up from the eur per share paid in,positive
ad cost now at bounc off of put oi s pivot moteltan bto aapl apr call for ride to ish,positive
wmt bullish with macd crossov with rsi and sto go up - abov ma res could run,positive
the board establish a remuner committe with follow member - sari baldauf chairman - tapio hintikka - heikki westerlund in addit the board decid to appoint a nomin committe at a later stage,neutral
the contract has been allot as per lowest price criteria,neutral
accord to kesko the compani agre with the citi administr about leas of the build in it resettl and construct of a five-star hotel hilton for room,positive
novemb - finnish sports-equip maker amer sport oyj hel amea said today it has obtain a eurm schuldschein note loan from a pool of intern investor,neutral
telest bk optiflex amplifi product will be use in ongo capac upgrad of kdg s network to bi-direct,neutral
a huge issu for us is the button placement,neutral
zsl look veri weak could be a good short setup,negative
with the measur suominen corpor aim to ensur the competit of the flexibl packag busi in the long term,positive
in january-septemb oper profit total eur mn,neutral
bbri sierra has a great cash balanc and impress growth ratewould be a wonder marriage!,positive
cramo is a servic compani specialis in construct machineri and equip rental and rental-rel servic as well as the rental and sale of modular space,neutral
tesla model x recal add to reliabl issu tsla,negative
finnish consult and engin group poyri plc omx helsinki poy said on wednesday octob that it has been award a contract by tanqia dibba fzc as owner-engin for the wastewat system of dibba emir of fujairah uae,positive
global life scienc industri is strict regul by intern and nation author,neutral
finnish electron contract manufactur scanfil had net sale of eur mn in the first quarter of down from eur mn a year befor,negative
howev the rapid increas cost and the strengthen of the euro were challeng for the whole industri and they impact on our result,negative
talvivaara mine compani plc talvivaara mine compani is an intern signific base metal produc with it primari focus on nickel and zinc use a technolog known as bioheapleach to extract metal out of ore,neutral
finnish glass technolog compani glaston oyj abp net profit decreas to mln euro mln for the first nine month of from mln euro mln for the same period of,negative
shire share price under pressur after bn baxalta deal,negative
the group post net sale of mln euro mln and an oper profit of euro mln in,neutral
royal mail turnaround prove expens in tough uk market,neutral
stockmann and swedish sector compani ab lindex enter into an agreement on septemb wherebi stockmann or a wholly-own subsidiari of it will make a public tender offer for all of lindex s issu share,positive
the first stage of the contract cover store and cash regist,neutral
and the broker repeat it buy rate base on expect that current restructur will lead to a clear improv in perform in europ in,positive
companiesab inbev signal it wont go hostil for sabmil,positive
bg group still happi with shell billion offer,positive
long pcln,positive
fb gone green on day,positive
in the baltic the merger of the busi of the two is expect to be complet in earli,neutral
it allow the young child to move forward with his life,positive
finnish forest machineri manufactur ponss s net sale grew to eur mn in the first quarter of from eur mn in the correspond period in,positive
uponor improv it perform in spite of the decreas in residenti construct in the us,positive
relat link flexiblebaseloadoper thewartsilagener set gasconvers this is the shorter of two version of this press releas,neutral
to rais consum awar and encourag peopl to recycl their old mobil devic nokia run regular recycl campaign around the world,neutral
the compani also said that in poland a profit program has been launch at the oborniki steel frame and sandwich panel plant,positive
amd big dump would not touch it for a while,negative
